cycle,N(t),Ne-heterozygosity,Ne-inbreeding
50400,1500,1560.49,1495.51
50401,1500,1560.39,1482.68
50402,1500,1556.92,1509.07
50403,1500,1556.99,1479.26
50404,1500,1560.52,1467.19
50405,1500,1559.67,1506.03
50406,1500,1554.24,1508.56
50407,1500,1555.29,1521.84
50408,1500,1557.08,1478.29
50409,1500,1557.84,1512.11
50410,1500,1556.25,1453.9
50411,1500,1556.08,1527.01
50412,1500,1557.27,1501.5
50413,1500,1556.92,1496.5
50414,1500,1557.12,1534.84
50415,1500,1556.96,1472.96
50416,1500,1561.25,1467.19
50417,1500,1558.91,1507.04
50418,1500,1557.22,1503.01
50419,1500,1557.11,1483.17
50420,1500,1556.64,1505.53
50421,1500,1560.02,1476.83
50422,1500,1561.86,1500.5
50423,1500,1562.46,1511.1
50424,1500,1561.87,1505.53
50425,1500,1562.54,1469.11
50426,1500,1560.3,1476.83
50427,1500,1555.82,1469.11
50428,1500,1553.92,1523.39
50429,1500,1553.65,1552.87
50430,1500,1551.83,1531.7
50431,1500,1550.12,1481.7
50432,1500,1549.13,1489.56
50433,1500,1545.35,1439.0
50434,1500,1548.27,1456.25
50435,1500,1549.9,1486.11
50436,1500,1547.82,1502.51
50437,1500,1547.01,1497.0
50438,1500,1545.31,1473.93
50439,1500,1547.5,1513.13
50440,1500,1545.27,1484.15
50441,1500,1546.37,1515.17
50442,1500,1548.9,1501.5
50443,1500,1550.37,1492.03
50444,1500,1548.76,1464.8
50445,1500,1548.48,1482.68
50446,1500,1545.76,1513.64
50447,1500,1544.56,1536.41
50448,1500,1547.46,1507.55
50449,1500,1550.31,1449.68
50450,1500,1549.48,1528.05
50451,1500,1553.07,1423.96
50452,1500,1552.33,1502.01
50453,1500,1554.16,1542.74
50454,1500,1553.73,1521.84
50455,1500,1556.88,1458.14
50456,1500,1555.53,1491.54
50457,1500,1555.59,1489.56
50458,1500,1555.77,1444.55
50459,1500,1557.65,1513.13
50460,1500,1557.24,1491.54
50461,1500,1556.69,1455.31
50462,1500,1557.57,1498.5
50463,1500,1553.97,1509.07
50464,1500,1554.45,1482.19
50465,1500,1555.38,1490.55
50466,1500,1551.05,1530.65
50467,1500,1552.0,1494.02
50468,1500,1551.8,1501.5
50469,1500,1551.53,1534.84
50470,1500,1548.54,1565.85
50471,1500,1545.65,1549.66
50472,1500,1542.81,1506.03
50473,1500,1543.72,1510.59
50474,1500,1545.08,1511.1
50475,1500,1544.23,1512.62
50476,1500,1539.61,1460.51
50477,1500,1538.65,1519.27
50478,1500,1536.75,1502.51
50479,1500,1538.08,1502.51
50480,1500,1535.89,1506.03
50481,1500,1539.67,1484.15
50482,1500,1537.68,1518.24
50483,1500,1535.75,1482.68
50484,1500,1536.51,1515.17
50485,1500,1531.83,1474.41
50486,1500,1531.59,1484.64
50487,1500,1531.81,1510.59
50488,1500,1528.73,1474.41
50489,1500,1530.36,1527.53
50490,1500,1528.78,1449.21
50491,1500,1529.0,1472.0
50492,1500,1531.84,1476.83
50493,1500,1530.72,1493.02
50494,1500,1530.04,1526.5
50495,1500,1531.72,1534.31
50496,1500,1528.77,1540.1
50497,1500,1528.91,1470.55
50498,1500,1531.62,1491.54
50499,1500,1530.57,1463.37
50500,1500,1529.46,1504.02
50501,1500,1529.5,1477.32
50502,1500,1531.26,1501.0
50503,1500,1531.04,1527.01
50504,1500,1529.8,1474.89
50505,1500,1528.8,1472.0
50506,1500,1530.41,1474.41
50507,1500,1532.25,1486.6
50508,1500,1529.33,1505.02
50509,1500,1526.16,1481.7
50510,1500,1527.11,1545.39
50511,1500,1524.02,1448.28
50512,1500,1524.78,1516.2
50513,1500,1523.35,1516.2
50514,1500,1526.4,1498.5
50515,1500,1524.89,1495.51
50516,1500,1523.88,1491.54
50517,1500,1523.51,1506.54
50518,1500,1526.39,1512.62
50519,1500,1527.86,1466.23
50520,1500,1527.95,1454.84
50521,1500,1526.87,1489.07
50522,1500,1527.47,1512.62
50523,1500,1528.08,1510.59
50524,1500,1528.73,1516.2
50525,1500,1528.0,1495.01
50526,1500,1529.78,1523.39
50527,1500,1528.65,1495.01
50528,1500,1528.26,1511.61
50529,1500,1525.39,1491.54
50530,1500,1521.79,1500.5
50531,1500,1519.37,1493.52
50532,1500,1518.38,1450.61
50533,1500,1519.75,1465.28
50534,1500,1515.99,1509.57
50535,1500,1516.8,1511.61
50536,1500,1519.05,1568.04
50537,1500,1518.79,1519.27
50538,1500,1516.38,1474.41
50539,1500,1518.11,1493.02
50540,1500,1516.78,1521.33
50541,1500,1515.26,1496.01
50542,1500,1511.43,1504.52
50543,1500,1509.81,1497.0
50544,1500,1511.12,1438.08
50545,1500,1509.09,1470.55
50546,1500,1508.3,1503.51
50547,1500,1509.05,1500.0
50548,1500,1509.54,1456.73
50549,1500,1509.34,1483.17
50550,1500,1510.37,1510.59
50551,1500,1505.89,1490.05
50552,1500,1504.98,1497.0
50553,1500,1507.42,1494.51
50554,1500,1507.47,1521.84
50555,1500,1506.58,1486.11
50556,1500,1504.81,1548.59
50557,1500,1503.24,1532.74
50558,1500,1504.58,1486.11
50559,1500,1505.88,1521.33
50560,1500,1508.9,1482.68
50561,1500,1510.28,1543.27
50562,1500,1510.35,1536.94
50563,1500,1512.02,1496.5
50564,1500,1510.21,1482.19
50565,1500,1509.71,1478.78
50566,1500,1510.75,1455.78
50567,1500,1511.91,1487.59
50568,1500,1507.18,1462.42
50569,1500,1506.31,1468.63
50570,1500,1502.09,1533.79
50571,1500,1504.75,1480.24
50572,1500,1503.31,1491.54
50573,1500,1509.58,1483.17
50574,1500,1513.29,1497.5
50575,1500,1512.04,1485.62
50576,1500,1509.67,1487.1
50577,1500,1511.72,1479.26
50578,1500,1514.25,1464.8
50579,1500,1515.41,1488.57
50580,1500,1517.13,1497.5
50581,1500,1519.41,1471.51
50582,1500,1520.23,1482.19
50583,1500,1521.47,1494.02
50584,1500,1519.92,1475.38
50585,1500,1517.44,1519.78
50586,1500,1517.41,1511.61
50587,1500,1514.15,1507.04
50588,1500,1516.62,1488.08
50589,1500,1515.69,1548.05
50590,1500,1515.83,1460.51
50591,1500,1519.02,1452.96
50592,1500,1517.9,1466.23
50593,1500,1520.44,1506.54
50594,1500,1522.56,1515.17
50595,1500,1524.39,1464.8
50596,1500,1526.11,1549.12
50597,1500,1527.55,1463.84
50598,1500,1528.11,1517.73
50599,1500,1527.55,1490.55
50600,1500,1525.96,1508.05
50601,1500,1525.38,1514.15
50602,1500,1526.31,1467.19
50603,1500,1524.8,1465.28
50604,1500,1528.04,1512.62
50605,1500,1528.76,1503.51
50606,1500,1526.39,1497.0
50607,1500,1528.96,1490.55
50608,1500,1533.12,1523.91
50609,1500,1536.52,1517.73
50610,1500,1540.22,1515.68
50611,1500,1538.9,1528.57
50612,1500,1540.73,1530.65
50613,1500,1541.85,1505.53
50614,1500,1543.31,1526.5
50615,1500,1545.53,1496.5
50616,1500,1544.6,1472.96
50617,1500,1543.92,1496.5
50618,1500,1544.0,1495.01
50619,1500,1542.79,1491.54
50620,1500,1541.11,1463.37
50621,1500,1544.26,1517.73
50622,1500,1543.53,1500.5
50623,1500,1540.45,1543.8
50624,1500,1538.03,1453.43
50625,1500,1537.53,1531.7
50626,1500,1542.24,1464.32
50627,1500,1541.84,1495.01
50628,1500,1541.2,1480.24
50629,1500,1539.42,1508.56
50630,1500,1539.86,1540.62
50631,1500,1540.81,1536.41
50632,1500,1542.11,1479.26
50633,1500,1541.63,1510.59
50634,1500,1539.01,1483.66
50635,1500,1536.7,1549.66
50636,1500,1538.84,1463.84
50637,1500,1538.1,1482.19
50638,1500,1539.1,1495.01
50639,1500,1538.75,1486.6
50640,1500,1540.07,1534.31
50641,1500,1543.8,1544.33
50642,1500,1544.91,1504.52
50643,1500,1544.35,1510.08
50644,1500,1546.47,1528.05
50645,1500,1547.36,1472.0
50646,1500,1545.19,1454.37
50647,1500,1548.4,1493.02
50648,1500,1548.14,1497.5
50649,1500,1544.89,1502.01
50650,1500,1543.86,1515.68
50651,1500,1545.89,1493.52
50652,1500,1546.3,1474.41
50653,1500,1545.96,1459.57
50654,1500,1545.04,1513.64
50655,1500,1545.29,1460.51
50656,1500,1543.68,1504.02
50657,1500,1538.65,1498.0
50658,1500,1538.33,1467.19
50659,1500,1542.35,1461.46
50660,1500,1543.21,1520.3
50661,1500,1537.45,1500.0
50662,1500,1537.14,1539.57
50663,1500,1538.44,1473.44
50664,1500,1536.53,1529.09
50665,1500,1535.93,1521.84
50666,1500,1534.89,1513.64
50667,1500,1538.24,1451.55
50668,1500,1539.44,1458.62
50669,1500,1541.4,1497.0
50670,1500,1542.55,1510.59
50671,1500,1541.34,1504.02
50672,1500,1538.3,1446.88
50673,1500,1536.75,1515.68
50674,1500,1539.18,1485.62
50675,1500,1538.41,1480.73
50676,1500,1536.19,1512.11
50677,1500,1537.94,1518.76
50678,1500,1538.73,1454.37
50679,1500,1540.83,1521.84
50680,1500,1544.75,1474.41
50681,1500,1548.72,1529.09
50682,1500,1550.26,1482.19
50683,1500,1549.44,1510.59
50684,1500,1549.46,1487.59
50685,1500,1549.22,1508.56
50686,1500,1548.67,1498.5
50687,1500,1545.94,1524.42
50688,1500,1547.7,1462.89
50689,1500,1553.44,1495.01
50690,1500,1555.24,1493.02
50691,1500,1555.19,1489.56
50692,1500,1553.66,1513.13
50693,1500,1554.25,1476.35
50694,1500,1553.68,1482.68
50695,1500,1553.25,1439.46
50696,1500,1554.06,1498.5
50697,1500,1551.21,1474.89
50698,1500,1553.16,1522.87
50699,1500,1552.05,1506.03
50700,1500,1553.79,1493.02
50701,1500,1553.78,1501.5
50702,1500,1552.05,1504.02
50703,1500,1551.92,1477.8
50704,1500,1552.46,1509.57
50705,1500,1552.56,1474.41
50706,1500,1550.93,1498.0
50707,1500,1549.55,1529.61
50708,1500,1551.2,1486.6
50709,1500,1550.11,1476.83
50710,1500,1548.14,1453.43
50711,1500,1549.43,1487.59
50712,1500,1546.79,1473.93
50713,1500,1546.01,1513.13
50714,1500,1546.72,1489.07
50715,1500,1547.04,1510.08
50716,1500,1546.11,1507.55
50717,1500,1546.4,1462.89
50718,1500,1545.07,1501.0
50719,1500,1546.5,1441.31
50720,1500,1545.37,1484.64
50721,1500,1548.03,1508.56
50722,1500,1548.17,1505.53
50723,1500,1551.6,1505.53
50724,1500,1553.1,1454.84
50725,1500,1552.79,1488.08
50726,1500,1553.04,1508.56
50727,1500,1557.05,1456.73
50728,1500,1558.45,1507.04
50729,1500,1560.16,1489.56
50730,1500,1559.69,1498.5
50731,1500,1560.93,1522.36
50732,1500,1558.51,1568.04
50733,1500,1557.55,1539.57
50734,1500,1557.68,1495.01
50735,1500,1555.68,1541.68
50736,1500,1557.01,1468.15
50737,1500,1557.91,1492.03
50738,1500,1554.04,1478.29
50739,1500,1554.65,1517.73
50740,1500,1554.63,1507.04
50741,1500,1552.55,1485.13
50742,1500,1551.53,1532.22
50743,1500,1555.33,1461.46
50744,1500,1554.96,1528.05
50745,1500,1554.65,1500.5
50746,1500,1551.95,1528.57
50747,1500,1552.56,1488.08
50748,1500,1550.22,1473.93
50749,1500,1548.82,1484.64
50750,1500,1546.79,1471.51
50751,1500,1550.87,1515.17
50752,1500,1551.54,1493.02
50753,1500,1551.14,1485.62
50754,1500,1553.38,1529.61
50755,1500,1552.4,1503.01
50756,1500,1554.72,1505.53
50757,1500,1556.11,1478.78
50758,1500,1554.18,1482.19
50759,1500,1554.68,1511.1
50760,1500,1557.07,1514.15
50761,1500,1558.9,1486.6
50762,1500,1557.66,1534.84
50763,1500,1562.24,1526.5
50764,1500,1561.11,1508.05
50765,1500,1561.2,1459.09
50766,1500,1562.91,1569.13
50767,1500,1566.18,1484.15
50768,1500,1566.11,1458.62
50769,1500,1564.57,1486.6
50770,1500,1563.67,1529.09
50771,1500,1563.13,1468.15
50772,1500,1560.39,1459.57
50773,1500,1562.78,1554.48
50774,1500,1561.37,1471.03
50775,1500,1561.26,1488.08
50776,1500,1561.03,1482.68
50777,1500,1560.74,1515.17
50778,1500,1561.65,1495.51
