cycle,N(t),Ne-heterozygosity,Ne-inbreeding
50400,1500,1551.8,1527.53
50401,1500,1553.18,1495.51
50402,1500,1551.47,1537.46
50403,1500,1551.83,1505.02
50404,1500,1552.99,1529.09
50405,1500,1552.35,1479.26
50406,1500,1547.81,1531.7
50407,1500,1544.38,1562.04
50408,1500,1543.98,1528.05
50409,1500,1544.76,1500.5
50410,1500,1546.66,1518.24
50411,1500,1545.49,1523.91
50412,1500,1541.67,1485.13
50413,1500,1545.3,1496.5
50414,1500,1541.85,1476.35
50415,1500,1542.33,1496.01
50416,1500,1544.58,1495.51
50417,1500,1544.89,1503.51
50418,1500,1547.51,1511.61
50419,1500,1547.8,1555.56
50420,1500,1546.75,1504.52
50421,1500,1544.24,1536.41
50422,1500,1544.15,1484.64
50423,1500,1539.53,1477.8
50424,1500,1539.76,1492.53
50425,1500,1538.35,1455.31
50426,1500,1539.14,1483.17
50427,1500,1538.74,1531.18
50428,1500,1538.04,1541.68
50429,1500,1539.13,1451.08
50430,1500,1539.52,1452.02
50431,1500,1539.89,1522.36
50432,1500,1542.23,1533.27
50433,1500,1549.04,1495.01
50434,1500,1549.33,1506.03
50435,1500,1549.89,1389.61
50436,1500,1549.57,1531.18
50437,1500,1547.26,1493.02
50438,1500,1549.76,1504.52
50439,1500,1547.66,1500.0
50440,1500,1547.95,1466.71
50441,1500,1546.96,1485.13
50442,1500,1549.11,1453.43
50443,1500,1550.98,1490.05
50444,1500,1553.95,1488.08
50445,1500,1557.13,1494.51
50446,1500,1553.56,1453.9
50447,1500,1559.17,1519.78
50448,1500,1557.71,1517.22
50449,1500,1559.91,1499.5
50450,1500,1560.78,1471.51
50451,1500,1562.78,1461.94
50452,1500,1562.9,1541.68
50453,1500,1562.94,1509.07
50454,1500,1563.55,1515.17
50455,1500,1566.0,1470.55
50456,1500,1571.46,1487.59
50457,1500,1570.95,1468.63
50458,1500,1571.4,1469.59
50459,1500,1574.5,1499.0
50460,1500,1574.09,1557.71
50461,1500,1574.63,1418.11
50462,1500,1574.25,1458.62
50463,1500,1573.33,1507.55
50464,1500,1573.51,1499.5
50465,1500,1571.54,1471.51
50466,1500,1570.81,1497.5
50467,1500,1571.97,1499.0
50468,1500,1570.31,1475.38
50469,1500,1571.34,1488.08
50470,1500,1569.38,1540.62
50471,1500,1569.15,1525.98
50472,1500,1568.4,1563.68
50473,1500,1568.72,1462.89
50474,1500,1567.11,1548.05
50475,1500,1567.29,1498.0
50476,1500,1570.24,1519.27
50477,1500,1571.28,1490.55
